ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
5146,rurutuan,1225,maʔana,m a ʔ a n a,,Meyer-128-2005,maʔana
5147,rurutuan,1225,ao,a o,,Meyer-128-2005,ao
5659,hawaiian,1225,lā,l aː,,71458,lā
934,maori,1230,paru,p a r u,,Biggs-85-2005,paru
1386,tahitian,1230,repo,r e p o,,Clark-173-2005,repo
1835,rapanui,1230,one,o n e,,POLLEX,one
1836,rapanui,1230,hava,h a v a,,POLLEX,hava
2099,mangareva,1230,paneu,p a n e u,,POLLEX,paneu
3280,sikaiana,1230,sava,s a v a,,POLLEX,sava
3281,sikaiana,1230,pela,p e l a,,POLLEX,pela
3572,northmarquesan,1230,hava,h a v a,,POLLEX,hava
3573,northmarquesan,1230,paàpaà,p a ʔ a p a ʔ a,,POLLEX,paàpaà
4578,raivavae,1230,Gepo,ɢ e p o,,Tamaititahio-1213-2015,Gepo
4838,tuamotuan,1230,hava,h a v a,,POLLEX,hava
5343,rurutuan,1230,repo,r e p o,,Meyer-128-2005,repo
5832,hawaiian,1230,lepo,l e p o,,71458,lepo
848,maori,2009,kurii,k u r iː,,Biggs-85-2005,kurii
1292,tahitian,2009,'urii,ʔ u r iː,,Clark-173-2005,'urii
1728,rapanui,2009,paihega,p a i h e g a,,POLLEX,paihega
1729,rapanui,2009,kuri,k u r i,,POLLEX,kuri
1988,mangareva,2009,kurī,k u r iː,,POLLEX,kurī
3189,sikaiana,2009,kulii,k u l iː,,POLLEX,kulii
3446,northmarquesan,2009,nuhe,n u h e,,POLLEX,nuhe
3447,northmarquesan,2009,ku'i,k u ʔ i,,POLLEX,ku'i
4496,raivavae,2009,ʔuGi,ʔ u ɢ i,,Tamaititahio-1213-2015,ʔuGi
4718,tuamotuan,2009,kurio,k u r i o,,POLLEX,kurio
5232,rurutuan,2009,ʔuurii,ʔ uː r iː,,Meyer-128-2005,ʔuurii
5737,hawaiian,2009,'īlio,ʔ iː l i o,,71458,'īlio
799,maori,1398,maroke,m a r o k e,,Biggs-85-2005,maroke
1244,tahitian,1398,maroo,m a r oː,,Clark-173-2005,maroo
1677,rapanui,1398,pakapaka,p a k a p a k a,,POLLEX,pakapaka
1933,mangareva,1398,maro,m a r o,,POLLEX,maro
3144,sikaiana,1398,masa,m a s a,,POLLEX,masa
3390,northmarquesan,1398,mo'o,m o ʔ o,,POLLEX,mo'o
3391,northmarquesan,1398,pakaka,p a k a k a,,POLLEX,pakaka
4459,raivavae,1398,maGo,m a ɢ o,,Tamaititahio-1213-2015,maGo
4659,tuamotuan,1398,maroo,m a r oː,,POLLEX,maroo
5181,rurutuan,1398,maroo,m a r oː,,Meyer-128-2005,maroo
5689,hawaiian,1398,malo'o,m a l o ʔ o,,71458,malo'o
862,maori,379,puuhuki,p uː h u k i,,Biggs-85-2005,puuhuki
1306,tahitian,379,mania,m a n i a,,Clark-173-2005,mania
1747,rapanui,379,puni,p u n i,,POLLEX,puni
2006,mangareva,379,moimoi,m o i m o i,,POLLEX,moimoi
3205,sikaiana,379,matapū,m a t a p uː,,POLLEX,matapū
3472,northmarquesan,379,puriki,p u r i k i,,POLLEX,puriki
3473,northmarquesan,379,tumué,t u m u ʔ e,,POLLEX,tumué
4509,raivavae,379,papa,p a p a,,Tamaititahio-1213-2015,papa
4737,tuamotuan,379,tii,t iː,,POLLEX,tii/muu
5251,rurutuan,379,mania,m a n i a,,Meyer-128-2005,mania
5252,rurutuan,379,tuumuu,t uː m uː,,Meyer-128-2005,tuumuu
5753,hawaiian,379,mūmū,m uː m uː,,71458,[kū]mūmū
933,maori,2,puehu,p u e h u,,Biggs-85-2005,puehu
1384,tahitian,2,repo puehu,r e p o p u e h u,,Clark-173-2005,repo puehu
1385,tahitian,2,hu'ahuaa,h u ʔ a h u aː,,Clark-173-2005,hu'ahuaa
1831,rapanui,2,pugaehu,p u g a e h u,,POLLEX,pugaehu
1832,rapanui,2,garahu,g a r a h u,,POLLEX,garahu
1833,rapanui,2,huga,h u g a,,POLLEX,huga
2097,mangareva,2,e'u,e ʔ u,,POLLEX,e'u
2098,mangareva,2,puèu,p u ʔ e u,,POLLEX,puèu
3279,sikaiana,2,lehu,l e h u,,POLLEX,lehu
3571,northmarquesan,2,'epo,ʔ e p o,,POLLEX,'epo
4837,tuamotuan,2,puuehu,p uː e h u,,POLLEX,puuehu
5342,rurutuan,2,ʔuʔaʔuʔa,ʔ u ʔ a ʔ u ʔ a,,Meyer-128-2005,ʔuʔaʔuʔa
5830,hawaiian,2,'e'a,ʔ e ʔ a,,71458,'e'a
5831,hawaiian,2,'ehu,ʔ e h u,,71458,'ehu
901,maori,1247,taringa,t a r i ŋ a,,Biggs-85-2005,taringa
1350,tahitian,1247,tari'a,t a r i ʔ a,,Clark-173-2005,tari'a
1795,rapanui,1247,tariga,t a r i g a,,POLLEX,tariga
2058,mangareva,1247,taringa,t a r i ŋ a,,POLLEX,taringa
3245,sikaiana,1247,talina,t a l i n a,,POLLEX,kau/talina/
3532,northmarquesan,1247,pua,p u a,,POLLEX,pua/ìna/
4547,raivavae,1247,taGiʔa,t a ɢ i ʔ a,,Tamaititahio-1213-2015,taGiʔa
4792,tuamotuan,1247,tariŋa,t a r i ŋ a,,POLLEX,tariŋa
5303,rurutuan,1247,tariʔa,t a r i ʔ a,,Meyer-128-2005,tariʔa
5795,hawaiian,1247,pepeiao,p e p e i a o,,71458,pepeiao
822,maori,1228,kere-,k e r e,,Biggs-85-2005,kere-
823,maori,1228,repo,r e p o,,Biggs-85-2005,repo
824,maori,1228,oneone,o n e o n e,,Biggs-85-2005,oneone
1267,tahitian,1228,repo,r e p o,,Clark-173-2005,repo
1703,rapanui,1228,one,o n e,,POLLEX,one
1704,rapanui,1228,repo,r e p o,,POLLEX,repo
1960,mangareva,1228,repo,r e p o,,POLLEX,repo
3164,sikaiana,1228,kele,k e l e,,POLLEX,kele/kele
3418,northmarquesan,1228,'epo,ʔ e p o,,POLLEX,'epo
4477,raivavae,1228,Gepo,ɢ e p o,,Tamaititahio-1213-2015,Gepo
4694,tuamotuan,1228,repo,r e p o,,POLLEX,repo
5206,rurutuan,1228,repo,r e p o,,Meyer-128-2005,repo
5713,hawaiian,1228,lepo,l e p o,,71458,lepo
5714,hawaiian,1228,honua,h o n u a,,71458,honua
845,maori,744,hua manu,h u a m a n u,,Biggs-85-2005,hua manu
846,maori,744,heeki,h eː k i,,Biggs-85-2005,heeki
1290,tahitian,744,hooro,h u e r o,,Clark-173-2005,hooro
1725,rapanui,744,mâmari,m aː m a r i,,POLLEX,mâmari
1726,rapanui,744,toua,t o u a,,POLLEX,toua
1986,mangareva,744,māmari moa,m aː m a r i m o a,,POLLEX,māmari moa
3187,sikaiana,744,tamamoa,t a m a m o a,,POLLEX,tamamoa
3444,northmarquesan,744,mama'i,m a m a ʔ i,,POLLEX,mama'i
4494,raivavae,744,hueGo,h u e ɢ o,,Tamaititahio-1213-2015,hueGo
4716,tuamotuan,744,toouo,t oː u o,,POLLEX,toouo
5230,rurutuan,744,ʔua,ʔ u a,,Meyer-128-2005,ʔua
5735,hawaiian,744,hua,h u a,,71458,hua[moa]
899,maori,1248,mata,m a t a,,Biggs-85-2005,mata
1348,tahitian,1248,mata,m a t a,,Clark-173-2005,mata
1793,rapanui,1248,mata,m a t a,,POLLEX,mata
2056,mangareva,1248,mata,m a t a,,POLLEX,mata
3243,sikaiana,1248,kale,k a l e,,POLLEX,kale/mata/
3529,northmarquesan,1248,mata,m a t a,,POLLEX,mata
3530,northmarquesan,1248,korohi,k o r o h i,,POLLEX,korohi
4545,raivavae,1248,mata,m a t a,,Tamaititahio-1213-2015,mata
4790,tuamotuan,1248,mata,m a t a,,POLLEX,mata
5301,rurutuan,1248,mata,m a t a,,Meyer-128-2005,mata
5793,hawaiian,1248,maka,m a k a,,71458,maka
755,maori,1406,tafiti,t a f i t i,,Biggs-85-2005,tawhiti
1201,tahitian,1406,aatea,aː t e a,,Clark-173-2005,aatea
1624,rapanui,1406,kumi,k u m i,,POLLEX,kumi
1879,mangareva,1406,mama'o,m a m a ʔ o,,POLLEX,mama'o
3105,sikaiana,1406,mmao,m m a o,,POLLEX,mmao
3327,northmarquesan,1406,mema'o,m e m a ʔ o,,POLLEX,mema'o
4612,tuamotuan,1406,taumamao,t a u m a m a o,,POLLEX,taumamao
5134,rurutuan,1406,aatea,aː t e a,,Meyer-128-2005,aatea
5643,hawaiian,1406,mamao,m a m a o,,71458,mamao
839,maori,323,ngako,ŋ a k o,,Biggs-85-2005,ngako
1284,tahitian,323,mi'i,m i ʔ i,,Clark-173-2005,mi'i
1719,rapanui,323,nako,n a k o,,POLLEX,nako
1978,mangareva,323,matatere,m a t a t e r e,,POLLEX,matatere
1979,mangareva,323,hinu,h i n u,,POLLEX,hinu
3181,sikaiana,323,sinu,s i n u,,POLLEX,sinu(sinu)
3436,northmarquesan,323,kerehi,k e r e h i,,POLLEX,kerehi
3437,northmarquesan,323,hinu àma,h i n u ʔ a m a,,POLLEX,hinu àma
4488,raivavae,323,poGia,p o ɢ i a,,Tamaititahio-1213-2015,poGia
4710,tuamotuan,323,hinu,h i n u,,POLLEX,hinu
5222,rurutuan,323,miʔi,m i ʔ i,,Meyer-128-2005,miʔi
5729,hawaiian,323,momona,m o m o n a,,71458,momona
884,maori,1217,matua,m a t u a,,Biggs-85-2005,matua
1330,tahitian,1217,metua taane,m e t u a t aː n e,,Clark-173-2005,metua taane
1331,tahitian,1217,paapaa,p aː p aː,,Clark-173-2005,paapaa
1775,rapanui,1217,koro,k o r o,,POLLEX,koro
1776,rapanui,1217,matu'a,m a t u ʔ a,,POLLEX,matu'a
2036,mangareva,1217,tinana,t i n a n a,,POLLEX,tinana
3229,sikaiana,1217,tamana,t a m a n a,,POLLEX,tamana
3509,northmarquesan,1217,motua,m o t u a,,POLLEX,motua
4529,raivavae,1217,metua tāne,m e t u a t aː n e,,Tamaititahio-1213-2015,metua tāne
4772,tuamotuan,1217,metua taane,m e t u a t aː n e,,POLLEX,metua taane
5279,rurutuan,1217,metua taane,m e t u a t aː n e,,Meyer-128-2005,metua taane
5280,rurutuan,1217,paapaa,p aː p aː,,Meyer-128-2005,paapaa
5777,hawaiian,1217,makua kāne,m a k u a k aː n e,,71458,makua kāne
844,maori,1201,huru-manu,h u r u m a n u,,Biggs-85-2005,huru-manu
1289,tahitian,1201,huruhuru,h u r u h u r u,,Clark-173-2005,huruhuru
1724,rapanui,1201,huruhuru,h u r u h u r u,,POLLEX,huruhuru
1985,mangareva,1201,'uru,ʔ u r u,,POLLEX,'uru
3186,sikaiana,1201,palaa,p a l aː,,POLLEX,palaa
3443,northmarquesan,1201,huú manu,h u ʔ u m a n u,,POLLEX,huú manu
4493,raivavae,1201,huGuhuGu manu,h u ɢ u h u ɢ u m a n u,,Tamaititahio-1213-2015,huGuhuGu manu
4715,tuamotuan,1201,huru,h u r u,,POLLEX,huru
5229,rurutuan,1201,ʔuruʔuru,ʔ u r u ʔ u r u,,Meyer-128-2005,ʔuruʔuru
5734,hawaiian,1201,hulu,h u l u,,71458,hulu
796,maori,221,ahi,a h i,,Biggs-85-2005,ahi
1241,tahitian,221,auahi,a u a h i,,Clark-173-2005,auahi
1673,rapanui,221,ahi,a h i,,POLLEX,ahi
1927,mangareva,221,a'i,a ʔ i,,POLLEX,a'i
3141,sikaiana,221,ahi,a h i,,POLLEX,ahi
3386,northmarquesan,221,ahi,a h i,,POLLEX,ahi
4456,raivavae,221,auahi,a u a h i,,Tamaititahio-1213-2015,auahi
4656,tuamotuan,221,ahi,a h i,,POLLEX,ahi
5177,rurutuan,221,auaʔi,a u a ʔ i,,Meyer-128-2005,auaʔi
5686,hawaiian,221,ahi,a h i,,71458,ahi
832,maori,227,ika,i k a,,Biggs-85-2005,ika
1275,tahitian,227,i'a,i ʔ a,,Clark-173-2005,i'a
1713,rapanui,227,îka,ʔ iː k a,,POLLEX,îka
1970,mangareva,227,ika,i k a,,POLLEX,ika
3173,sikaiana,227,ika,i k a,,POLLEX,ika
3174,sikaiana,227,matu,m a t u,,POLLEX,matu
3175,sikaiana,227,alaalahutu,a l a a l a h u t u,,POLLEX,alaalahutu
3427,northmarquesan,227,ià,i ʔ a,,POLLEX,ià
4483,raivavae,227,iʔa,i ʔ a,,Tamaititahio-1213-2015,iʔa
4703,tuamotuan,227,paru,p a r u,,POLLEX,paru
5214,rurutuan,227,iʔa,i ʔ a,,Meyer-128-2005,iʔa
5722,hawaiian,227,i'a,i ʔ a,,71458,i'a
827,maori,239,puaawai,p u aː w a i,,Biggs-85-2005,puaawai
1270,tahitian,239,taire,t i a r e,,Clark-173-2005,taire
1707,rapanui,239,pua,p u a,,POLLEX,pua
1963,mangareva,239,tiare,t i a r e,,POLLEX,tiare
1964,mangareva,239,pua,p u a,,POLLEX,pua
3167,sikaiana,239,see,s eː,,POLLEX,see
3421,northmarquesan,239,pua,p u a,,POLLEX,pua
4478,raivavae,239,tiaGe,t i a ɢ e,,Tamaititahio-1213-2015,tiaGe
4697,tuamotuan,239,pua,p u a,,POLLEX,pua
5209,rurutuan,239,tiare,t i a r e,,Meyer-128-2005,tiare
5717,hawaiian,239,pua,p u a,,71458,pua
808,maori,249,kohu,k o h u,,Biggs-85-2005,kohu
1253,tahitian,249,ruupehu,r uː p e h u,,Clark-173-2005,ruupehu
1688,rapanui,249,kapua,k a p u a,,POLLEX,kapua
1689,rapanui,249,kohu,k o h u,,POLLEX,kohu
1944,mangareva,249,ko'u,k o ʔ u,,POLLEX,ko'u
3152,sikaiana,249,kohu,k o h u,,POLLEX,kohu
3401,northmarquesan,249,kohu,k o h u,,POLLEX,kohu
4674,tuamotuan,249,maahu,m aː h u,,POLLEX,maahu
4675,tuamotuan,249,kohu,k o h u,,POLLEX,kohu
5191,rurutuan,249,aʔinavai,a ʔ i n a v a i,,Meyer-128-2005,aʔinavai
5699,hawaiian,249,'ohu,ʔ o h u,,71458,'ohu
826,maori,1507,hua,h u a,,Biggs-85-2005,hua
1269,tahitian,1507,maa'a,m aː ʔ a,,Clark-173-2005,maa'a
1706,rapanui,1507,kai,k a i,,POLLEX,kai
1962,mangareva,1507,'ua,ʔ u a,,POLLEX,'ua
3166,sikaiana,1507,hua,h u a,,POLLEX,hua
3420,northmarquesan,1507,hua,h u a,,POLLEX,hua
4696,tuamotuan,1507,hua,h u a,,POLLEX,hua
5208,rurutuan,1507,maaʔa,m aː ʔ a,,Meyer-128-2005,maaʔa
5716,hawaiian,1507,hua,h u a,,71458,hua
774,maori,1035,pai,p a i,,Biggs-85-2005,pai
1218,tahitian,1035,maita'i,m a i t a ʔ i,,Clark-173-2005,maita'i
1643,rapanui,1035,rivariva,r i v a r i v a,,POLLEX,rivariva
1644,rapanui,1035,reka,r e k a,,POLLEX,reka
1897,mangareva,1035,porotu,p o r o t u,,POLLEX,porotu
1898,mangareva,1035,meitetaki,m a r i e,,POLLEX,meitetaki
3118,sikaiana,1035,leka,l e k a,,POLLEX,tau/leka/leka/
3349,northmarquesan,1035,kanahau,k a n a h a u,,POLLEX,kanahau
3350,northmarquesan,1035,meitaì,m e i t a ʔ i,,POLLEX,meitaì
3351,northmarquesan,1035,'eka,ʔ e k a,,POLLEX,'eka
4435,raivavae,1035,maitaʔi,m a i t a ʔ i,,Tamaititahio-1213-2015,maitaʔi
4629,tuamotuan,1035,meitaki,m e i t a k i,,POLLEX,meitaki
4630,tuamotuan,1035,reka,r e k a,,POLLEX,reka
5154,rurutuan,1035,maitaʔi,m a i t a ʔ i,,Meyer-128-2005,maitaʔi
5663,hawaiian,1035,maika'i,m a i k a ʔ i,,71458,maika'i
825,maori,606,karaaihe,k a r aː i h e,,Biggs-85-2005,karaaihe
1268,tahitian,606,matie,m a t i e,,Clark-173-2005,matie
1705,rapanui,606,mouku,m o u k u,,POLLEX,mouku
1961,mangareva,606,mutie,m u t i e,,POLLEX,mutie
3165,sikaiana,606,veve,v e v e,,POLLEX,veve
3419,northmarquesan,606,mutie,m u t i e,,POLLEX,mutie
4695,tuamotuan,606,moouku,m oː u k u,,POLLEX,moouku
5207,rurutuan,606,matie,m a t i e,,Meyer-128-2005,matie
5715,hawaiian,606,mau'u,m a u ʔ u,,71458,mau'u
788,maori,1425,kaakaariki,k aː k aː r i k i,,Biggs-85-2005,kaakaariki
1232,tahitian,1425,niinamu,n iː n a m u,,Clark-173-2005,niinamu
1233,tahitian,1425,matie,m a t i e,,Clark-173-2005,matie
1663,rapanui,1425,mata,m a t a,,POLLEX,mata
1915,mangareva,1425,moto,m o t o,,POLLEX,moto
3131,sikaiana,1425,moto,m o t o,,POLLEX,m/moto/
3373,northmarquesan,1425,ʔoutite'e,ʔ o u t i t e ʔ e,,POLLEX,ʔoutite'e
4448,raivavae,1425,matie,m a t i e,,Tamaititahio-1213-2015,matie
4644,tuamotuan,1425,matie,m a t i e,,POLLEX,matie
5169,rurutuan,1425,matie,m a t i e,,Meyer-128-2005,matie
5676,hawaiian,1425,ma'oma'o,m a ʔ o m a ʔ o,,71458,ma'oma'o
918,maori,1040,makawe,m a k a w e,,Biggs-85-2005,makawe
1369,tahitian,1040,rouru,r o u r u,,Clark-173-2005,rouru
1813,rapanui,1040,oho,o h o,,POLLEX,oho
1814,rapanui,1040,huruhuru,h u r u h u r u,,POLLEX,huruhuru
2078,mangareva,1040,rauo'o,r a u o ʔ o,,POLLEX,rauo'o
3264,sikaiana,1040,laulu,l a u l u,,POLLEX,laulu
3553,northmarquesan,1040,'ouoho,ʔ o u o h o,,POLLEX,'ouoho
3554,northmarquesan,1040,hu'u,h u ʔ u,,POLLEX,hu'u
4563,raivavae,1040,huGuhuGu poʔo,h u ɢ u h u ɢ u p o ʔ o,,Tamaititahio-1213-2015,huGuhuGu poʔo
4815,tuamotuan,1040,roouru,r oː u r u,,POLLEX,roouru
4816,tuamotuan,1040,huru,h u r u,,POLLEX,huru
5322,rurutuan,1040,rouru,r o u r u,,Meyer-128-2005,rouru
5815,hawaiian,1040,lauoho,l a u o h o,,71458,lauoho
944,maori,1277,ringa,r i ŋ a,,Biggs-85-2005,ringa(ringa)
1398,tahitian,1277,rima,r i m a,,Clark-173-2005,rima
1846,rapanui,1277,rima,r i m a,,POLLEX,rima
2108,mangareva,1277,rima,r i m a,,POLLEX,rima
3291,sikaiana,1277,lima,l i m a,,POLLEX,lima
3584,northmarquesan,1277,ìma,ʔ i m a,,POLLEX,ìma
4587,raivavae,1277,Gima,ɢ i m a,,Tamaititahio-1213-2015,Gima
4847,tuamotuan,1277,rima,r i m a,,POLLEX,rima
4848,tuamotuan,1277,kapu,k a p u,,POLLEX,kapu
5356,rurutuan,1277,rima,r i m a,,Meyer-128-2005,rima
5842,hawaiian,1277,lima,l i m a,,71458,lima
751,maori,2642,ia,i a,,Biggs-85-2005,ia
1196,tahitian,2642,'oona,ʔ oː n a,,Clark-173-2005,'oona
1620,rapanui,2642,ia,i a,,POLLEX,ia
1875,mangareva,2642,koia,k o i a,,POLLEX,ia/koia
3101,sikaiana,2642,ia,i a,,POLLEX,ia
3321,northmarquesan,2642,ia,i a,,POLLEX,ia
4418,raivavae,2642,ʔōna,ʔ oː n a,,Tamaititahio-1213-2015,ʔōna
4419,raivavae,2642,ʔoia,ʔ o i a,,Tamaititahio-1213-2015,ʔoia
4607,tuamotuan,2642,ia,i a,,POLLEX,ia
5128,rurutuan,2642,ʔoia,ʔ o i a,,Meyer-128-2005,ʔoia
5129,rurutuan,2642,ʔoona,ʔ oː n a,,Meyer-128-2005,ʔoona
5639,hawaiian,2642,ia,i a,,71458,['o]ia
920,maori,1256,upoko,u p o k o,,Biggs-85-2005,upoko
1371,tahitian,1256,upo'o,u p o ʔ o,,Clark-173-2005,upo'o
1816,rapanui,1256,puoko,p u o k o,,POLLEX,puoko
2080,mangareva,1256,o'o,o ʔ o,,POLLEX,o'o
2081,mangareva,1256,upoko,u p o k o,,POLLEX,upoko
3266,sikaiana,1256,poho,p o h o,,POLLEX,poho/ulu/
3556,northmarquesan,1256,upoko,u p o k o,,POLLEX,upoko
3557,northmarquesan,1256,u'u,u ʔ u,,POLLEX,u'u
4565,raivavae,1256,upoʔo,u p o ʔ o,,Tamaititahio-1213-2015,upoʔo
4819,tuamotuan,1256,upoko,u p o k o,,POLLEX,upoko
4820,tuamotuan,1256,uru,u r u,,POLLEX,uru
5324,rurutuan,1256,pao,p a o,,Meyer-128-2005,pao
5325,rurutuan,1256,upoʔo,u p o ʔ o,,Meyer-128-2005,upoʔo
5817,hawaiian,1256,po'o,p o ʔ o,,71458,po'o
797,maori,1210,taimaha,t a i m a h a,,Biggs-85-2005,taimaha
1242,tahitian,1210,toiaha,t o i a h a,,Clark-173-2005,toiaha
1674,rapanui,1210,pagaha'a,p a g a h a ʔ a,,POLLEX,pagaha'a
1928,mangareva,1210,kikikiki,k i k i k i k i,,POLLEX,kikikiki
1929,mangareva,1210,teimaha,t e i m a h a,,POLLEX,teimaha
3142,sikaiana,1210,mmaha,m m a h a,,POLLEX,mmaha
3387,northmarquesan,1210,toko,t o k o,,POLLEX,toko
3388,northmarquesan,1210,tono,t o n o,,POLLEX,tono
4457,raivavae,1210,toimaha,t o i m a h a,,Tamaititahio-1213-2015,toimaha
4657,tuamotuan,1210,tuʔatuʔa,t u ʔ a t u ʔ a,,POLLEX,tuʔatuʔa
5178,rurutuan,1210,tiaʔa,t i a ʔ a,,Meyer-128-2005,tiaʔa
5687,hawaiian,1210,kaumaha,k a u m a h a,,71458,kaumaha
883,maori,1252,fare,f a r e,,Biggs-85-2005,whare
1329,tahitian,1252,fare,f a r e,,Clark-173-2005,fare
1774,rapanui,1252,hare,h a r e,,POLLEX,hare
2035,mangareva,1252,'are,ʔ a r e,,POLLEX,'are
3228,sikaiana,1252,hale,h a l e,,POLLEX,hale
3507,northmarquesan,1252,fa'e,f a ʔ e,,POLLEX,fa'e
3508,northmarquesan,1252,aika,a i k a,,POLLEX,aika
4528,raivavae,1252,haGe,h a ɢ e,,Tamaititahio-1213-2015,haGe
4771,tuamotuan,1252,hare,h a r e,,POLLEX,hare
5278,rurutuan,1252,ʔare,ʔ a r e,,Meyer-128-2005,ʔare
5776,hawaiian,1252,hale,h a l e,,71458,hale
735,maori,1239,peehea,p eː h e a,,Biggs-85-2005,peehea
1181,tahitian,1239,naafea,n aː f e a,,Clark-173-2005,naafea
1606,rapanui,1239,pe hé,p e h ʔ e,,POLLEX,pe hé
1863,mangareva,1239,pe'ea,p e ʔ e a,,POLLEX,pe'ea
3086,sikaiana,1239,pehea,p e h e a,,POLLEX,pehea
3308,northmarquesan,1239,peehea,p eː h e a,,POLLEX,peehea
4405,raivavae,1239,nā hea,n aː h e a,,Tamaititahio-1213-2015,nā hea
5112,rurutuan,1239,naaʔea,n aː ʔ e a,,Meyer-128-2005,naaʔea
5624,hawaiian,1239,pehea,p e h e a,,71458,pehea
887,maori,1200,taane,t aː n e,,Biggs-85-2005,taane
1335,tahitian,1200,taane,t aː n e,,Clark-173-2005,taane
1779,rapanui,1200,kenu,k e n u,,POLLEX,kenu
2040,mangareva,1200,a'ana,a ʔ a n a,,POLLEX,a'ana
3512,northmarquesan,1200,hahana,h a h a n a,,POLLEX,hahana
4532,raivavae,1200,tāne,t aː n e,,Tamaititahio-1213-2015,tāne
4775,tuamotuan,1200,taane,t aː n e,,POLLEX,taane
5284,rurutuan,1200,taane,t aː n e,,Meyer-128-2005,taane
5780,hawaiian,1200,kāne,k aː n e,,71458,kāne
736,maori,1459,me,m e,,Biggs-85-2005,me (hemea)
1182,tahitian,1459,'ia,ʔ i a,,Clark-173-2005,'ia
1607,rapanui,1459,ana,a n a,,POLLEX,ana
3087,sikaiana,1459,pela,p e l a,,POLLEX,pela
3088,sikaiana,1459,hano,h a n o,,POLLEX,hano
3309,northmarquesan,1459,me,m e,,POLLEX,me
5113,rurutuan,1459,ʔaʔiri,ʔ a ʔ i r i,,Meyer-128-2005,ʔaʔiri
5114,rurutuan,1459,mai te paʔau,m a i t e p a ʔ a u,,Meyer-128-2005,mai te paʔau
5625,hawaiian,1459,inā,i n aː,,71458,inā
762,maori,1460,i roto,i r o t o,,Biggs-85-2005,i roto
1207,tahitian,1460,i roto,i r o t o,,Clark-173-2005,i roto
1631,rapanui,1460,roto,r o t o,,POLLEX,roto
1884,mangareva,1460,roto,r o t o,,POLLEX,roto
3109,sikaiana,1460,i loto,i l o t o,,POLLEX,i loto
3333,northmarquesan,1460,'oto,ʔ o t o,,POLLEX,'oto
4425,raivavae,1460,Goto,ɢ o t o,,Tamaititahio-1213-2015,Goto
4618,tuamotuan,1460,roto,r o t o,,POLLEX,roto
5140,rurutuan,1460,roto,r o t o,,Meyer-128-2005,roto
5652,hawaiian,1460,loko,l o k o,,71458,lo|ko
928,maori,1991,feːkau,f eː k a u,,Biggs-85-2005,wheekau
1379,tahitian,1991,'aa'au,ʔ aː ʔ a u,,Clark-173-2005,'aa'au
1825,rapanui,1991,kokoma,k o k o m a,,POLLEX,kokoma
2090,mangareva,1991,manava,m a n a v a,,POLLEX,manava
3274,sikaiana,1991,kautae,k a u t a e,,POLLEX,kautae
3566,northmarquesan,1991,koekoe,k o e k o e,,POLLEX,koekoe
4573,raivavae,1991,ʔaviGi,ʔ a v i ɢ i,,Tamaititahio-1213-2015,ʔaviGi
4829,tuamotuan,1991,ŋaakau,ŋ aː k a u,,POLLEX,ŋaakau
5337,rurutuan,1991,ʔaaʔau,ʔ aː ʔ a u,,Meyer-128-2005,ʔaaʔau
5825,hawaiian,1991,na'au,n a ʔ a u,,71458,na'au
814,maori,624,roto,r o t o,,Biggs-85-2005,roto
1259,tahitian,624,roto,r o t o,,Clark-173-2005,roto
1695,rapanui,624,rano,r a n o,,POLLEX,rano
1952,mangareva,624,rano,r a n o,,POLLEX,rano
3407,northmarquesan,624,vai óto,v a i ʔ o t o,,POLLEX,vai óto
4684,tuamotuan,624,roto,r o t o,,POLLEX,roto
4685,tuamotuan,624,rano,r a n o,,POLLEX,rano
5197,rurutuan,624,roto,r o t o,,Meyer-128-2005,roto
5705,hawaiian,624,loko,l o k o,,71458,loko
829,maori,628,rau,r a u,,Biggs-85-2005,rau
1272,tahitian,628,rau'ere,r a u ʔ e r e,,Clark-173-2005,rau'ere
1709,rapanui,628,raupá,r a u p a,,POLLEX,raupá
1966,mangareva,628,rau,r a u,,POLLEX,rau
3169,sikaiana,628,lau,l a u,,POLLEX,lau
3423,northmarquesan,628,àu,ʔ a u,,POLLEX,àu
4480,raivavae,628,GaueGe,ɢ a u e ɢ e,,Tamaititahio-1213-2015,GaueGe
4699,tuamotuan,628,rau,r a u,,POLLEX,rau
5211,rurutuan,628,rauʔere,r a u ʔ e r e,,Meyer-128-2005,rauʔere
5719,hawaiian,628,lau,l a u,,71458,lau
943,maori,244,mauii,m a u iː,,Biggs-85-2005,mauii
1397,tahitian,244,'aui,ʔ a u i,,Clark-173-2005,'aui
1845,rapanui,244,maui,m a u i,,POLLEX,maui
2107,mangareva,244,'ema,ʔ e m a,,POLLEX,'ema
3290,sikaiana,244,vale,v a l e,,POLLEX,vale
3583,northmarquesan,244,'ima a'ea'e,ʔ i m a a ʔ e a ʔ e,,POLLEX,'ima a'ea'e
4586,raivavae,244,ʔaui,ʔ a u i,,Tamaititahio-1213-2015,ʔaui
4846,tuamotuan,244,hema,h e m a,,POLLEX,hema
5355,rurutuan,244,ʔaui,ʔ a u i,,Meyer-128-2005,ʔaui
5841,hawaiian,244,hema,h e m a,,71458,hema
940,maori,2098,waewae,w a e w a e,,Biggs-85-2005,waewae
1395,tahitian,2098,'aavae,ʔ aː v a e,,Clark-173-2005,'aavae
1843,rapanui,2098,va'e,v a ʔ e,,POLLEX,va'e
